Time(ns) 	 Current(Amp)
0	0
0.035	5.0
0.215	5.0
0.25	0.0
0.5	0.0
0.535	5.0
0.715	5.0
0.75	0.0
1.0	0.0
1.035	5.0
1.215	5.0
1.25	0.0
1.5	0.0
1.535	5.0
1.715	5.0
1.75	0.0
2.0	0.0
2.035	5.0
2.215	5.0
2.25	0.0
2.5	0.0
2.535	5.0
2.715	5.0
2.75	0.0
3.0	0.0
3.035	5.0
3.215	5.0
3.25	0.0
3.5	0.0
3.535	5.0
3.715	5.0
3.75	0.0
4.0	0.0
4.035	5.0
4.215	5.0
4.25	0.0
4.5	0.0
4.535	5.0
4.715	5.0
4.75	0.0
5.0	0.0
5.035	5.0
5.215	5.0
5.25	0.0
5.5	0.0
5.535	5.0
5.715	5.0
5.75	0.0
6.0	0.0
6.035	5.0
6.215	5.0
6.25	0.0
6.5	0.0
6.535	5.0
6.715	5.0
6.75	0.0
7.0	0.0
7.035	5.0
7.215	5.0
7.25	0.0
7.5	0.0
7.535	5.0
7.715	5.0
7.75	0.0
8.0	0.0
8.035	5.0
8.215	5.0
8.25	0.0
8.5	0.0
8.535	5.0
8.715	5.0
8.75	0.0
9.0	0.0
9.035	5.0
9.215	5.0
9.25	0.0
9.5	0.0
9.535	5.0
9.715	5.0
9.75	0.0
10.0	0.0
10.035	9.75
10.215	9.75
10.25	0.0
10.5	0.0
10.535	14.5
10.715	14.5
10.75	0.0
11.0	0.0
11.035	19.25
11.215	19.25
11.25	0.0
11.5	0.0
11.535	24.0
11.715	24.0
11.75	0.0
12.0	0.0
12.035	28.75
12.215	28.75
12.25	0.0
12.5	0.0
12.535	33.5
12.715	33.5
12.75	0.0
13.0	0.0
13.035	38.25
13.215	38.25
13.25	0.0
13.5	0.0
13.535	43.0
13.715	43.0
13.75	0.0
14.0	0.0
14.035	47.75
14.215	47.75
14.25	0.0
14.5	0.0
14.535	52.5
14.715	52.5
14.75	0.0
15.0	0.0
15.035	57.25
15.215	57.25
15.25	0.0
15.5	0.0
15.535	62.0
15.715	62.0
15.75	0.0
16.0	0.0
16.035	66.75
16.215	66.75
16.25	0.0
16.5	0.0
16.535	71.5
16.715	71.5
16.75	0.0
17.0	0.0
17.035	76.25
17.215	76.25
17.25	0.0
17.5	0.0
17.535	81.0
17.715	81.0
17.75	0.0
18.0	0.0
18.035	85.75
18.215	85.75
18.25	0.0
18.5	0.0
18.535	90.5
18.715	90.5
18.75	0.0
19.0	0.0
19.035	95.25
19.215	95.25
19.25	0.0
19.5	0.0
19.535	100.0
19.715	100.0
19.75	0.0
20.0	0.0
20.035	97.75
20.215	97.75
20.25	0.0
20.5	0.0
20.535	95.5
20.715	95.5
20.75	0.0
21.0	0.0
21.035	93.25
21.215	93.25
21.25	0.0
21.5	0.0
