Time(ns) 	 Current(Amp)
21.535	91.0
21.715	91.0
21.75	0.0
22.0	0.0
22.035	88.75
22.215	88.75
22.25	0.0
22.5	0.0
22.535	86.5
22.715	86.5
22.75	0.0
23.0	0.0
23.035	84.25
23.215	84.25
23.25	0.0
23.5	0.0
23.535	82.0
23.715	82.0
23.75	0.0
24.0	0.0
24.035	79.75
24.215	79.75
24.25	0.0
24.5	0.0
24.535	77.5
24.715	77.5
24.75	0.0
25.0	0.0
25.035	75.25
25.215	75.25
25.25	0.0
25.5	0.0
25.535	73.0
25.715	73.0
25.75	0.0
26.0	0.0
26.035	70.75
26.215	70.75
26.25	0.0
26.5	0.0
26.535	68.5
26.715	68.5
26.75	0.0
27.0	0.0
27.035	66.25
27.215	66.25
27.25	0.0
27.5	0.0
27.535	64.0
27.715	64.0
27.75	0.0
28.0	0.0
28.035	61.75
28.215	61.75
28.25	0.0
28.5	0.0
28.535	59.5
28.715	59.5
28.75	0.0
29.0	0.0
29.035	57.25
29.215	57.25
29.25	0.0
29.5	0.0
29.535	55.0
29.715	55.0
29.75	0.0
30.0	0.0
30.035	55.0
30.215	55.0
30.25	0.0
30.5	0.0
30.535	55.0
30.715	55.0
30.75	0.0
31.0	0.0
31.035	55.0
31.215	55.0
31.25	0.0
31.5	0.0
31.535	55.0
31.715	55.0
31.75	0.0
32.0	0.0
32.035	55.0
32.215	55.0
32.25	0.0
32.5	0.0
32.535	55.0
32.715	55.0
32.75	0.0
33.0	0.0
33.035	55.0
33.215	55.0
33.25	0.0
33.5	0.0
33.535	55.0
33.715	55.0
33.75	0.0
34.0	0.0
34.035	55.0
34.215	55.0
34.25	0.0
34.5	0.0
34.535	55.0
34.715	55.0
34.75	0.0
35.0	0.0
35.035	55.0
35.215	55.0
35.25	0.0
35.5	0.0
35.535	55.0
35.715	55.0
35.75	0.0
36.0	0.0
36.035	55.0
36.215	55.0
36.25	0.0
36.5	0.0
36.535	55.0
36.715	55.0
36.75	0.0
37.0	0.0
37.035	55.0
37.215	55.0
37.25	0.0
37.5	0.0
37.535	55.0
37.715	55.0
37.75	0.0
38.0	0.0
38.035	55.0
38.215	55.0
38.25	0.0
38.5	0.0
38.535	55.0
38.715	55.0
38.75	0.0
39.0	0.0
39.035	55.0
39.215	55.0
39.25	0.0
39.5	0.0
39.535	55.0
39.715	55.0
39.75	0.0
40.0	0.0
40.035	55.0
40.215	55.0
40.25	0.0
40.5	0.0
40.535	55.0
40.715	55.0
40.75	0.0
41.0	0.0
41.035	55.0
41.215	55.0
41.25	0.0
41.5	0.0
41.535	55.0
41.715	55.0
41.75	0.0
42.0	0.0
42.035	55.0
42.215	55.0
42.25	0.0
42.5	0.0
42.535	55.0
42.715	55.0
42.75	0.0
43.0	0.0
43.035	55.0
43.215	55.0
43.25	0.0
43.5	0.0
43.535	55.0
43.715	55.0
43.75	0.0
44.0	0.0
44.035	55.0
44.215	55.0
44.25	0.0
44.5	0.0
44.535	55.0
44.715	55.0
44.75	0.0
45.0	0.0
45.035	60.0
45.215	60.0
45.25	5.0
45.5	5.0
45.535	60.0
45.715	60.0
45.75	5.0
46.0	5.0
46.035	5.0
46.215	5.0
46.25	5.0
46.5	5.0
46.535	5.0
46.715	5.0
46.75	5.0
47.0	5.0
47.035	5.0
47.215	5.0
47.25	5.0
47.5	5.0
47.535	60.0
47.715	60.0
47.75	5.0
48.0	5.0
48.035	60.0
48.215	60.0
48.25	5.0
48.5	5.0
48.535	5.0
48.715	5.0
48.75	5.0
49.0	5.0
49.035	5.0
49.215	5.0
49.25	5.0
49.5	5.0
49.535	5.0
49.715	5.0
49.75	5.0
50.0	5.0
50.035	60.0
50.215	60.0
50.25	5.0
50.5	5.0
50.535	60.0
50.715	60.0
50.75	5.0
51.0	5.0
51.035	5.0
51.215	5.0
51.25	5.0
51.5	5.0
51.535	5.0
51.715	5.0
51.75	5.0
52.0	5.0
52.035	5.0
52.215	5.0
52.25	5.0
52.5	5.0
52.535	60.0
52.715	60.0
52.75	5.0
53.0	5.0
53.035	60.0
53.215	60.0
53.25	5.0
53.5	5.0
53.535	5.0
53.715	5.0
53.75	5.0
54.0	5.0
54.035	5.0
54.215	5.0
54.25	5.0
54.5	5.0
54.535	5.0
54.715	5.0
54.75	5.0
55.0	5.0
55.035	60.0
55.215	60.0
55.25	5.0
55.5	5.0
55.535	60.0
55.715	60.0
55.75	5.0
56.0	5.0
56.035	5.0
56.215	5.0
56.25	5.0
56.5	5.0
56.535	5.0
56.715	5.0
56.75	5.0
57.0	5.0
57.035	5.0
57.215	5.0
57.25	5.0
57.5	5.0
57.535	60.0
57.715	60.0
57.75	5.0
58.0	5.0
58.035	60.0
58.215	60.0
58.25	5.0
58.5	5.0
58.535	5.0
58.715	5.0
58.75	5.0
59.0	5.0
59.035	5.0
59.215	5.0
59.25	5.0
59.5	5.0
59.535	5.0
59.715	5.0
59.75	5.0
60.0	5.0
60.035	60.0
60.215	60.0
60.25	5.0
60.5	5.0
60.535	60.0
60.715	60.0
60.75	5.0
61.0	5.0
61.035	5.0
61.215	5.0
61.25	5.0
61.5	5.0
61.535	5.0
61.715	5.0
61.75	5.0
62.0	5.0
62.035	5.0
62.215	5.0
62.25	5.0
62.5	5.0
62.535	60.0
62.715	60.0
62.75	5.0
63.0	5.0
63.035	60.0
63.215	60.0
63.25	5.0
63.5	5.0
63.535	5.0
63.715	5.0
63.75	5.0
64.0	5.0
64.035	5.0
64.215	5.0
64.25	5.0
64.5	5.0
64.535	5.0
64.715	5.0
64.75	5.0
65.0	5.0
